Satellite,mean,std,max,min,rms
G01,2680548.1428035405,1833126.1656408017,6923140.353793178,1.89213366457828,3247412.798682123
G02,2761354.240157814,1814126.81572729,6730640.8899923405,1.171587254562003,3303957.224780366
G03,2733821.412244453,1800828.478796285,6884593.652159617,1.236780393042555,3273646.7011713404
G04,2707202.8474788596,1821252.091645926,6889078.3208478335,1.8845728455589426,3262806.527933016
G05,2750101.5446213107,1802323.4413188952,6931063.209197564,0.6575244152951998,3288073.6446825676
G06,2736478.6452170773,1802754.228291092,6820621.32563175,1.369362272592926,3276925.1110378616
G07,2780155.763839275,1819181.5722279495,6544031.118513099,0.9753464332354297,3322452.0559283467
G08,2785061.146832357,1818414.1360797842,6758332.416640667,1.2422674181292908,3326138.235535312
G09,2761165.5673125545,1812297.319198557,6728100.623855761,1.2857579144724234,3302795.3105342053
G10,2730943.2591819,1798129.1610516482,6994871.206507768,1.2458446588536298,3269758.334295573
G11,2713006.2952550557,1820982.5512950567,6912288.016115637,1.873769426626827,3267473.1231051646
G12,2771436.5642478443,1814287.922165804,6737216.135875138,0.6991922291761612,3312476.610357665
G13,2754393.0827229577,1803027.570411821,6962453.680513483,1.3631641205129565,3292049.464059924
G14,2682206.037189006,1768474.1114963384,6989615.698101188,1.9650922988862232,3212744.9181293417
G15,2788763.442799433,1818609.9016503952,6684206.63302754,0.929558649669599,3329345.8087551384
G16,2774474.0351197715,1809379.0869720245,7015546.083076559,1.3469512431730095,3312334.3508657916
G17,2771838.541891575,1807140.6483811354,6988542.312371988,0.7198657802270598,3308904.08222224
G18,2626849.233660922,1780181.5170002393,6472492.615276065,1.7927027123243378,3173229.1328951092
G19,2770325.6340204184,1816185.8280788295,6772744.3499054145,0.8417085132927702,3312587.3695081635
G20,2764085.430965036,1813694.930750679,6552798.866429101,1.1875696143251087,3306003.262476291
G21,2628537.1092674593,1762196.7513154608,6737212.506275291,1.7947548578973764,3164576.5475246278
G22,2767570.9989003986,1812103.5520741374,6833942.63763884,0.8709247626961327,3308046.027097304
G23,2690222.147446602,1827307.4023957883,6472481.197566248,1.8350022699210322,3252129.6938256705
G24,2796174.988098977,1823682.8516502215,6461007.308879468,1.3153561931522602,3338324.985299274
G25,2786293.3335032333,1812735.53348197,6956938.59884726,1.3558380560081433,3324069.8931690236
G26,2802124.737873658,1824770.3870155995,6686368.925998597,1.1509380265523634,3343903.409480091
G27,2779030.4156233286,1810817.7156294333,6992948.254674287,1.5986144448478048,3316936.9680771707
G28,2667866.9016661514,1768554.693113332,6908020.299813253,1.875209982980338,3200827.94094574
G29,2761832.240535911,1808296.83706687,6868574.474174551,0.8018087449502942,3301159.6107746223
G30,2799925.4444208457,1816495.0519251614,6951069.4465919845,1.4012141371323128,3337549.5154355187
G31,2771862.054545522,1816646.110733644,6657448.747211851,0.780805720515199,3314124.6719266614
G32,2766916.103897864,1806455.5518952096,6977505.173272393,1.4464704177618537,3304407.115804946
